1 -434.7685575258207 -438.3782297468979 -439.5719430885085 -438.8652994243759 -446.2851833353296 -440.4373603531641 -418.4218665286406 -437.15242014352873 -436.3796547975817 -429.4789558041569
2 -431.26220881392254 -432.8636575471497 -430.62598422314466 -434.60859007073157 -432.9431733772393 -438.01304090496876 -436.37194856838505 -424.8040758685749 -435.50918849258494 -443.2264125278508
3 -445.5610790687671 -416.0132096272961 -439.4277685363305 -427.10191265568903 -443.199663464042 -421.3631854345467 -446.0306419114175 -434.70791766753683 -444.7110479971502 -434.1847202829348
4 -438.43169954376873 -442.32460492738363 -439.2896698064077 -421.92322306377775 -432.775303318415 -443.5030354945187 -439.9648070191931 -447.176496768525 -442.8060677472102 -434.8368244649838
5 -444.27825289132034 -432.9240043032166 -432.2335598622097 -430.17598160627466 -445.3829622235097 -440.9074134162182 -420.5172714032136 -435.35572889408684 -449.69083974673583 -445.2869827875402
6 -439.81119853812663 -445.1651448897076 -429.5922360740572 -442.1789010442726 -438.7809294100116 -440.59687733550953 -433.39883323346174 -428.45752237890053 -451.4821458254228 -437.63925059393387
7 -433.1390541500049 -439.8054057679683 -448.4501785623441 -441.53908618529624 -434.52391971249943 -438.76012402257857 -447.4317233329128 -422.7179403275437 -442.04021199437375 -439.5090513326715
8 -434.47303954518065 -433.869120327928 -446.5168355764804 -443.2219372367857 -421.55631445062556 -443.8696281189301 -448.4755881056549 -443.826592195127 -444.93177852050786 -447.8276061894533
9 -432.91484707883455 -429.17406867135634 -429.4443677188222 -432.4968983702864 -429.7338671548831 -441.98309086222196 -449.349316005004 -426.2956648375163 -439.92797751917703 -438.0325802292908
10 -435.13334458357633 -425.14908761272636 -438.3837259099429 -444.6515975837923 -441.3637804234585 -441.335637682257 -442.95849027693885 -429.9720804481678 -442.27954396232815 -435.14123179990037
